"","plot","Treatment","Trt_density","sept_5_density1","sept_5_density_exp","sept_6_density","sept_6_quadrat","sept_6_zj","sept_6_macro","sept_6_detritus","sept_16_density","sept_16_macro","sept_16_detritus","sept_16_zj","Trt.comb","density_diff","shoot","growth_days","shoot_length","shoot_width","sheath_length","ref_length","no_blades","repro","lf1_full","lf1_new","lf2_full","lf2_new","lf3_full","lf3_new","lf4_full","lf4_new","lf5_full","lf5_new","lf6_full","lf6_new","lf7_full","lf7_new","lf8_full","lf8_new","lf9_full","lf9_new","bblf_1","bblf_2","bblf_3","shoot_wet_wt","foil_wt","shoot_dry_wt","shoot_biomass","internode1","internode2","internode3","internode4","internode5","internode6","internode7","internode8","internode9","internode10","internode11","internode12","internode13","internode14","internode15","internode16","internode17","internode18","internode19","internode20","internode21","internode22","internode23","bblf_count","no_leaves","no_rhiz_int","Total_extension"
"46","19","low","control",32,32,26,8,0,12,2,43,5,40,1,"control_low",17,1,11,50.5,0.5,12.8,7.1,4,"No",42.1,14.7,29.9,24,20.6,1,5.7,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,2,0.6,1,0.4,0.9,0.6,1,1.1,1.3,0.9,0.8,0.7,0.7,0.5,0.4,0.4,0.5,0.6,0.4,0.3,0,0,0,0,0,0,0,1,4,16,49.9
"47","19","low","control",32,32,26,8,0,12,2,43,5,40,1,"control_low",17,2,11,68.6,0.7,18.3,6.3,5,"No",20.1,20.1,52.6,35.4,62.5,19.5,57.4,1.7,49.5,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,2.02,2.02,1.6,1.8,0.9,1.3,1.4,1.1,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,83
"48","19","low","control",32,32,26,8,0,12,2,43,5,40,1,"control_low",17,3,11,69.8,0.5,15,4.7,6,"No",15,15,48.3,39.2,65.1,26.8,58.8,5,47.5,1,41.2,0,0,0,0,0,0,0,0,0,0,5.2,0.8,1.7,0.9,0.7,1.3,1.2,1.2,1.2,1.1,1.1,1,0.8,0.7,0.5,0.5,0.4,0.4,0.3,0.3,0.4,0,0,0,0,0,0,0,6,17,91.7
"49","20","low","control",62,62,48,14,0,0,0,71,0.1,1,0,"control_low",23,1,11,55.1,0.6,14.5,6.7,3,"No",51,3.2,9.3,1.9,12.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.9,0.6,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13.9
"50","20","low","control",62,62,48,14,0,0,0,71,0.1,1,0,"control_low",23,4,11,56.2,0.8,17,16.2,3,"No",52.1,13.3,20.1,19.6,14.6,14.6,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.6,13.6,0,0,0,0,1.9,2.4,2.9,2.2,2.4,2.8,2.9,2.2,1.9,1.5,1.4,1.3,0,0,0,0,0,0,0,0,0,0,0,3,3,12,102.1
"51","20","low","control",62,62,48,14,0,0,0,71,0.1,1,0,"control_low",23,2,11,79,0.7,18.7,10.1,4,"No",22.3,2.7,55.7,0.6,60.4,0.2,65.1,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,1.9,1.7,2.2,1.8,1.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,18.2
"52","20","low","control",62,62,48,14,0,0,0,71,0.1,1,0,"control_low",23,3,11,68.8,0.7,17.2,9.7,4,"No",31.4,4.6,51.3,3.1,58.8,0.6,59.7,0,0,0,0,0,0,0,0,0,0,0,7.7,6.3,5.2,0,0,0,0,1.9,2.3,1.4,2,1.6,1.7,1.5,2.1,1.1,1.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,37.2
"53","21","low","control",40,40,38,10,1,0,5,35,0,3,0,"control_low",-3,2,11,86.9,0.7,19.2,8.4,4,"No",74.4,43.5,78.5,14,71.7,1.5,61.8,0,0,0,0,0,0,0,0,0,0,0,38,0,0,7.6,1.1,0,0,0.5,1.5,2.1,2,1.9,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,105.4
"54","21","low","control",40,40,38,10,1,0,5,35,0,3,0,"control_low",-3,1,11,79.2,0.7,20.2,6.5,5,"No",41.2,40.3,70.5,41.6,72,15.7,63.5,1.5,56.9,0,0,0,0,0,0,0,0,0,5.2,0,0,6,1.4,2.3,0.9,0.3,1.5,2.3,1.9,1.9,1.7,1.3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,110.8
"55","22","high","exp",136,90,53,15,0,0,5,44,0,8,0,"exp_high",-9,2,11,123.1,0.7,18.8,13,6,"No",19.7,19.7,76.6,49.5,103.9,25.8,100.4,1.4,101.7,0.2,51.9,0,0,0,0,0,0,0,0,0,0,13.8,1.1,3.7,2.6,1.2,1.4,1.7,0.9,0.8,1.2,1.5,1.9,1.8,1.7,1.8,1.8,2.1,0,0,0,0,0,0,0,0,0,0,0,6,13,109.6
"56","22","high","exp",136,90,53,15,0,0,5,44,0,8,0,"exp_high",-9,3,11,120.6,0.6,13.1,7.6,6,"No",21.1,21.1,43.9,30,77.4,48.1,109.3,1.8,108.2,0.1,93.5,0,0,0,0,0,0,0,0,0,0,0,2.5,4.8,2.3,1.6,1.8,1.7,1.9,2.1,2.2,2.3,1.8,1.8,2,2.1,2.3,2.4,0,0,0,0,0,0,0,0,0,0,0,6,13,108.7
"57","22","high","exp",136,90,53,15,0,0,5,44,0,8,0,"exp_high",-9,1,11,123.3,0.7,13.2,8.8,8,"No",12.8,12.8,104.4,39.4,63,40.6,91.6,0,101.8,5.4,104.3,1.1,9.1,0,21,0,0,0,0,0,0,0,0.7,3.1,2.4,1.6,1.8,2,1.6,1.9,2.1,2.4,2.4,2.6,3.1,2.9,2.5,0,0,0,0,0,0,0,0,0,0,0,0,8,12,108.1
